"lat","lon","param","floweringTime","freshWeightAtFlowering","leafNumberAtFlowering","hasEmerged","eme","growingTime","baseFloweringTime","baseFreshWeightAtFlowering","baseLeafNumberAtFlowering","baseHasEmerged","baseEme","baseParam","baseGrowingTime","floweringTimeSens","growingTimeSens","leafNumberAtFloweringSens","rosetteWeight","baseRosetteWeight","rosetteWeightSens"
39.75,-4.5,116,2232,41.241862,25,1,193,2039,2232,41.241862,25,1,193,0,2039,0,0,0,0.020557,0.020557,0
39.75,-4.5,117,2232,41.241857,25,1,193,2039,2232,41.241862,25,1,193,0,2039,0,0,0,0.020557,0.020557,0
39.75,-4.5,118,2232,41.211737,25,1,193,2039,2232,41.241862,25,1,193,0,2039,0,0,0,0.020547,0.020557,-9.99999999999959e-06
39.75,-4.5,119,2232,41.243514,25,1,193,2039,2232,41.241862,25,1,193,0,2039,0,0,0,0.020557,0.020557,0
39.75,-4.5,12,2232,41.241862,25,1,193,2039,2232,41.241862,25,1,193,0,2039,0,0,0,0.020557,0.020557,0
39.75,-4.5,120,2232,41.216932,25,1,193,2039,2232,41.241862,25,1,193,0,2039,0,0,0,0.020548,0.020557,-8.99999999999859e-06
39.75,-4.5,121,2256,44.138201,25,1,193,2063,2232,41.241862,25,1,193,0,2039,24,24,0,0.020545,0.020557,-1.19999999999981e-05
39.75,-4.5,122,2232,41.222806,25,1,193,2039,2232,41.241862,25,1,193,0,2039,0,0,0,0.020551,0.020557,-5.99999999999906e-06
39.75,-4.5,123,2232,41.233977,25,1,193,2039,2232,41.241862,25,1,193,0,2039,0,0,0,0.020554,0.020557,-2.99999999999953e-06
39.75,-4.5,124,2232,41.230099,25,1,193,2039,2232,41.241862,25,1,193,0,2039,0,0,0,0.020553,0.020557,-4.00000000000053e-06
39.75,-4.5,125,2232,41.235419,25,1,193,2039,2232,41.241862,25,1,193,0,2039,0,0,0,0.020554,0.020557,-2.99999999999953e-06
39.75,-4.5,126,2232,41.23733,25,1,193,2039,2232,41.241862,25,1,193,0,2039,0,0,0,0.020555,0.020557,-1.99999999999853e-06
39.75,-4.5,127,2232,41.23927,25,1,193,2039,2232,41.241862,25,1,193,0,2039,0,0,0,0.020556,0.020557,-9.99999999997531e-07
39.75,-4.5,128,2232,41.239637,25,1,193,2039,2232,41.241862,25,1,193,0,2039,0,0,0,0.020556,0.020557,-9.99999999997531e-07
39.75,-4.5,129,2232,41.227262,25,1,193,2039,2232,41.241862,25,1,193,0,2039,0,0,0,0.020552,0.020557,-4.99999999999806e-06
