"lat","lon","param","floweringTime","freshWeightAtFlowering","leafNumberAtFlowering","hasEmerged","eme","growingTime","baseFloweringTime","baseFreshWeightAtFlowering","baseLeafNumberAtFlowering","baseHasEmerged","baseEme","baseParam","baseGrowingTime","floweringTimeSens","growingTimeSens","leafNumberAtFloweringSens","rosetteWeight","baseRosetteWeight","rosetteWeightSens"
39.75,-4.5,163,936,1.097362,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040217,0.040215,2.000000000002e-06
39.75,-4.5,164,936,1.097521,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040222,0.040215,7.00000000000006e-06
39.75,-4.5,165,936,1.097409,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040218,0.040215,2.99999999999606e-06
39.75,-4.5,166,936,1.097563,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040224,0.040215,9.00000000000206e-06
39.75,-4.5,167,936,1.0977,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040225,0.040215,9.99999999999612e-06
39.75,-4.5,168,936,1.097758,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040226,0.040215,1.09999999999971e-05
39.75,-4.5,169,936,1.096842,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040205,0.040215,-1.00000000000031e-05
39.75,-4.5,17,960,1.441659,12,1,279,681,936,1.097275,12,1,279,0,657,24,24,0,0.040215,0.040215,0
39.75,-4.5,170,936,1.097273,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040215,0.040215,0
39.75,-4.5,171,936,1.096256,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.04019,0.040215,-2.50000000000042e-05
39.75,-4.5,172,936,1.097213,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040214,0.040215,-1.000000000001e-06
39.75,-4.5,173,936,1.097144,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040211,0.040215,-4.000000000004e-06
39.75,-4.5,174,936,1.097504,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040222,0.040215,7.00000000000006e-06
39.75,-4.5,175,936,1.097504,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040222,0.040215,7.00000000000006e-06
39.75,-4.5,176,936,1.096926,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040207,0.040215,-8.00000000000106e-06
39.75,-4.5,177,936,1.097279,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040216,0.040215,1.000000000001e-06
39.75,-4.5,178,936,1.097295,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040216,0.040215,1.000000000001e-06
39.75,-4.5,179,936,1.097214,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040214,0.040215,-1.000000000001e-06
39.75,-4.5,18,936,1.097275,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040215,0.040215,0
39.75,-4.5,180,936,1.096908,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040207,0.040215,-8.00000000000106e-06
39.75,-4.5,181,936,1.097072,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040212,0.040215,-3.000000000003e-06
39.75,-4.5,182,936,1.096871,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040205,0.040215,-1.00000000000031e-05
39.75,-4.5,183,936,1.096804,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040207,0.040215,-8.00000000000106e-06
39.75,-4.5,184,936,1.097488,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.04022,0.040215,4.99999999999806e-06
39.75,-4.5,185,936,1.097333,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040217,0.040215,2.000000000002e-06
39.75,-4.5,186,936,1.097063,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.04021,0.040215,-4.99999999999806e-06
39.75,-4.5,187,936,1.098458,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040243,0.040215,2.80000000000002e-05
39.75,-4.5,188,936,1.097092,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040211,0.040215,-4.000000000004e-06
39.75,-4.5,189,936,1.097042,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040209,0.040215,-5.99999999999906e-06
39.75,-4.5,19,936,1.017863,12,1,281,655,936,1.097275,12,1,279,0,657,0,-2,0,0.038034,0.040215,-0.002181
39.75,-4.5,190,936,1.097289,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040215,0.040215,0
39.75,-4.5,191,936,1.096637,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040199,0.040215,-1.60000000000021e-05
39.75,-4.5,192,936,1.0972,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040214,0.040215,-1.000000000001e-06
39.75,-4.5,193,936,1.097275,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040215,0.040215,0
39.75,-4.5,194,936,1.097275,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040215,0.040215,0
39.75,-4.5,195,936,1.097275,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040215,0.040215,0
39.75,-4.5,196,936,1.097275,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040215,0.040215,0
39.75,-4.5,197,936,1.100883,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040303,0.040215,8.79999999999978e-05
39.75,-4.5,198,936,1.096937,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040207,0.040215,-8.00000000000106e-06
